04/02/2026 13:05 - Notas fiscais emitidas entre 04-04-2020 e 04-02-2026

Data da Emissão;Número;Série;Valor;Cliente;CNPJ/CPF;Pedido;Vendedor
23/01/2026 15:10:41;11298;1;191;Nexus Manutenção Grupo;73.193.873/0001-16;0;Mariana Fernandes
23/01/2026 14:02:27;11297;1;539,1;Global Manutenção ME;97.532.710/0001-18;0;Mariana Fernandes
23/01/2026 09:08:05;11296;1;35;Red Consultoria Grupo;69.641.357/0001-80;0;Amanda Carvalho
21/01/2026 14:00:16;11295;1;5897,08;Alpha Bebidas LTDA;97.649.868/0001-44;0;Mariana Fernandes
20/01/2026 16:28:42;11294;1;746,6;Solar Obras ME;99.532.448/0001-45;0;Mariana Fernandes
20/01/2026 16:04:22;11293;1;100;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
20/01/2026 12:45:20;11292;1;196,8;Power Alimentos EIRELI;24.400.545/0001-30;0;Mariana Fernandes
19/01/2026 13:45:53;11291;1;170;Green Investimentos EIRELI;87.370.926/0001-15;0;Amanda Carvalho
19/01/2026 12:04:53;11290;1;572,5;Food Serviços EIRELI;74.880.282/0001-74;0;Mariana Fernandes
19/01/2026 09:15:00;11289;1;39;Inova Investimentos EIRELI;91.619.723/0001-35;0;Amanda Carvalho
16/01/2026 15:28:13;11288;1;420;Amazonas Data ME;79.897.643/0001-10;0;Amanda Carvalho
16/01/2026 12:51:10;11287;1;329,4;Venture Cloud S.A.;12.214.471/0001-49;0;Mariana Fernandes
15/01/2026 11:41:26;11286;1;143,25;Service Redes Grupo;64.697.508/0001-56;0;Mariana Fernandes
15/01/2026 09:22:51;11285;1;100;Core Indústria ME;82.180.187/0001-72;0;Amanda Carvalho
14/01/2026 10:36:20;11284;1;749,25;Dynamic Comércio Grupo;26.231.775/0001-70;0;Amanda Ferreira
13/01/2026 16:04:09;11283;1;690;Synergy Eletrônicos Grupo;64.316.652/0001-98;0;Amanda Ferreira
13/01/2026 14:17:52;11282;1;1097,4;Titan Moda EIRELI;61.787.765/0001-57;0;Mariana Fernandes
13/01/2026 11:15:47;11281;1;366,66;Synergy Eletrônicos Grupo;64.316.652/0001-98;0;Mariana Fernandes
13/01/2026 09:51:33;11280;1;327;Health Componentes Grupo;25.487.180/0001-80;0;Amanda Carvalho
13/01/2026 09:16:09;11279;1;497,5;Plastic Eletrônicos S.A.;25.353.330/0001-18;0;Amanda Ferreira
12/01/2026 15:34:44;11278;1;2606,35;Service Redes Grupo;64.697.508/0001-56;0;Amanda Carvalho
12/01/2026 14:10:24;11277;1;364,5;Safe Serviços Grupo;80.335.702/0001-38;0;Amanda Carvalho
12/01/2026 14:03:09;11276;1;718,5;Alpha Comércio LTDA;39.169.132/0001-52;0;Mariana Fernandes
12/01/2026 09:29:59;11275;1;210,5;Omega Eletrônicos ME;45.785.597/0001-37;0;Amanda Ferreira
09/01/2026 12:44:48;11274;1;1923,6;Service Manutenção Grupo;83.584.348/0001-70;0;Mariana Fernandes
09/01/2026 12:42:27;11273;1;2756;Service Manutenção Grupo;83.584.348/0001-70;0;Mariana Fernandes
09/01/2026 11:07:39;11272;1;141;Health Sistemas ME;69.488.376/0001-91;0;Mariana Fernandes
09/01/2026 10:41:32;11271;1;1006,64;Micro Embalagens ME;22.199.774/0001-65;0;Mariana Fernandes
08/01/2026 13:49:29;11270;1;1800;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
08/01/2026 13:33:12;11269;1;1440;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
08/01/2026 11:10:30;11268;1;291;Green Embalagens S.A.;69.984.846/0001-16;0;Mariana Fernandes
08/01/2026 10:27:19;11267;1;1035;Sigma Consultoria EIRELI;23.354.296/0001-34;0;Mariana Fernandes
08/01/2026 10:21:43;11266;1;3788,96;Micro Embalagens ME;22.199.774/0001-65;0;Mariana Fernandes
07/01/2026 12:05:54;11265;1;2217,5;Service Componentes ME;64.287.385/0001-69;0;Mariana Fernandes
07/01/2026 11:48:42;11264;1;348,5;Service Componentes ME;64.287.385/0001-69;0;Mariana Fernandes
07/01/2026 11:45:33;11263;1;820;Service Componentes ME;64.287.385/0001-69;0;Mariana Fernandes
06/01/2026 14:31:19;11262;1;401,375;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
06/01/2026 11:42:34;11261;1;275;Core Investimentos LTDA;66.927.982/0001-80;0;Amanda Carvalho
05/01/2026 15:34:09;11260;1;1217,5;Inova Indústria Grupo;11.195.871/0001-40;0;Mariana Fernandes
05/01/2026 15:30:17;11259;1;79;Prime Embalagens S.A.;71.318.985/0001-61;0;Mariana Fernandes
05/01/2026 15:05:54;11258;1;475;Sigma Transportes S.A.;10.499.371/0001-68;0;Mariana Fernandes
05/01/2026 15:00:51;11257;1;291,6;Safe Serviços Grupo;80.335.702/0001-38;0;Mariana Fernandes
05/01/2026 10:54:47;11256;1;148;Elite Embalagens Grupo;94.835.598/0001-29;0;Mariana Fernandes
05/01/2026 09:05:12;11255;1;134,5;Health Sistemas ME;69.488.376/0001-91;0;Mariana Fernandes
02/01/2026 13:17:42;11254;1;165,5;Inova Investimentos EIRELI;91.619.723/0001-35;0;Mariana Fernandes
02/01/2026 13:08:28;11253;1;10267,35;Titan Web ME;17.693.853/0001-79;0;Mariana Fernandes
30/12/2025 09:37:29;11252;1;83,1;Service Redes Grupo;64.697.508/0001-56;0;Mariana Fernandes
30/12/2025 09:32:08;11251;1;838,2;Sigma Móveis EIRELI;17.151.698/0001-71;0;Amanda Carvalho
30/12/2025 09:29:10;11250;1;370,8;Service Redes Grupo;64.697.508/0001-56;0;Mariana Fernandes
29/12/2025 16:16:57;11249;1;10636,85;Sea Investimentos Grupo;30.158.620/0001-20;0;Mariana Fernandes
29/12/2025 12:40:42;11248;1;876;Master Comércio Grupo;18.791.982/0001-40;0;Mariana Fernandes
22/12/2025 16:03:26;11247;1;195;Gold Distribuidora Grupo;41.692.708/0001-15;0;Mariana Fernandes
22/12/2025 15:42:56;11246;1;7605;Consulting Comércio S.A.;94.697.678/0001-76;0;Mariana Fernandes
22/12/2025 14:55:51;11245;1;143,5;Sea Investimentos Grupo;30.158.620/0001-20;0;Mariana Fernandes
22/12/2025 14:42:36;11244;1;643,5;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
22/12/2025 11:44:45;11243;1;197,5;Fast Redes ME;95.833.421/0001-40;0;Mariana Fernandes
22/12/2025 11:41:55;11242;1;249;Green Embalagens S.A.;69.984.846/0001-16;0;Mariana Fernandes
22/12/2025 10:43:57;11241;1;1380;Safe Serviços Grupo;80.335.702/0001-38;0;Amanda Carvalho
22/12/2025 10:22:11;11240;1;2711,16;Prime Embalagens S.A.;71.318.985/0001-61;0;Amanda Carvalho
19/12/2025 13:28:55;11239;1;822,6;Global Manutenção ME;97.532.710/0001-18;0;Mariana Fernandes
19/12/2025 12:23:16;11238;1;359;Core Indústria ME;82.180.187/0001-72;0;Mariana Fernandes
19/12/2025 10:22:46;11237;1;1583,5;Health Sistemas ME;69.488.376/0001-91;0;Mariana Fernandes
19/12/2025 09:19:19;11236;1;1493,8;Amazonas Data ME;79.897.643/0001-10;0;Amanda Carvalho
18/12/2025 13:58:49;11235;1;308;Health Sistemas ME;69.488.376/0001-91;0;Amanda Carvalho
18/12/2025 13:29:50;11232;1;114,6;Green Investimentos EIRELI;87.370.926/0001-15;0;Amanda Carvalho
18/12/2025 10:59:50;11231;1;299,7;Synergy Consultoria ME;95.760.407/0001-68;0;Amanda Ferreira
18/12/2025 08:52:42;11230;1;1283,64;Global Manutenção ME;97.532.710/0001-18;0;Amanda Ferreira
17/12/2025 15:02:14;11229;1;745;Fast Construções LTDA;11.569.736/0001-82;0;Mariana Fernandes
17/12/2025 14:57:56;11228;1;588;Inova Comércio Grupo;37.618.371/0001-26;0;Mariana Fernandes
16/12/2025 14:27:16;11227;1;82;Green Comércio ME;57.391.261/0001-66;0;Amanda Ferreira
16/12/2025 10:26:15;11226;1;1006,64;Micro Embalagens ME;22.199.774/0001-65;0;Amanda Carvalho
15/12/2025 15:19:09;11225;1;26,55;Advanced Metalúrgica EIRELI;88.926.769/0001-77;0;Mariana Fernandes
15/12/2025 12:07:59;11224;1;1800;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
15/12/2025 12:04:56;11223;1;401,38;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
15/12/2025 11:54:39;11222;1;300;Alpha Bebidas Grupo;48.779.206/0001-27;0;Amanda Carvalho
15/12/2025 11:52:39;11221;1;57;Nexus Projetos LTDA;50.510.374/0001-18;0;Mariana Fernandes
15/12/2025 09:21:32;11220;1;1006,64;Micro Embalagens ME;22.199.774/0001-65;0;Amanda Carvalho
15/12/2025 09:12:52;11219;1;392,8;Delta Bebidas ME;47.181.975/0001-39;0;Amanda Ferreira
15/12/2025 09:08:34;11218;1;1257,5;Service Componentes ME;64.287.385/0001-69;0;Amanda Carvalho
12/12/2025 15:45:47;11217;1;4384,3;Sea Investimentos Grupo;30.158.620/0001-20;0;Mariana Fernandes
12/12/2025 12:43:05;11216;1;760,5;Global Manutenção ME;97.532.710/0001-18;0;
12/12/2025 12:30:00;11215;1;3559,16;Global Manutenção ME;97.532.710/0001-18;0;Mariana Fernandes
12/12/2025 11:48:12;11214;1;4261,45;Food Serviços EIRELI;74.880.282/0001-74;0;Amanda Carvalho
12/12/2025 09:11:32;11213;1;518,9;Nexus Manutenção Grupo;73.193.873/0001-16;0;Amanda Ferreira
11/12/2025 15:02:58;11212;1;716,9;Synergy Distribuidora LTDA;80.259.378/0001-46;0;Mariana Fernandes
11/12/2025 13:41:03;11211;1;10061,6;Prime Embalagens S.A.;71.318.985/0001-61;0;Mariana Fernandes
11/12/2025 11:17:22;11210;1;370,8;Service Redes Grupo;64.697.508/0001-56;0;Mariana Fernandes
11/12/2025 11:09:09;11209;1;370,8;Service Redes Grupo;64.697.508/0001-56;0;Mariana Fernandes
10/12/2025 15:17:11;11208;1;238,14;Venture Tecnologia EIRELI;36.803.749/0001-43;0;Mariana Fernandes
10/12/2025 14:33:43;11207;1;1019,4;Green Investimentos EIRELI;87.370.926/0001-15;0;Mariana Fernandes
10/12/2025 11:02:00;11206;1;1755;Sigma Transportes S.A.;10.499.371/0001-68;0;Amanda Ferreira
10/12/2025 10:13:03;11205;1;870,3;Sigma Transportes S.A.;10.499.371/0001-68;0;Amanda Ferreira
09/12/2025 10:48:34;11204;1;154,5;Sea Elétricos EIRELI;16.194.749/0001-64;0;Mariana Fernandes
05/12/2025 11:17:57;11203;1;1477,5;Health Componentes Grupo;25.487.180/0001-80;0;Mariana Fernandes
05/12/2025 11:14:13;11202;1;370,8;Service Redes Grupo;64.697.508/0001-56;0;Mariana Fernandes
05/12/2025 11:04:34;11201;1;1954,75;Advanced Redes LTDA;10.441.889/0001-26;0;Mariana Fernandes
04/12/2025 15:30:27;11200;1;459,6;Engineering Redes ME;66.664.822/0001-64;0;Amanda Carvalho
04/12/2025 12:48:27;11199;1;998;Advanced Redes LTDA;10.441.889/0001-26;0;Mariana Fernandes
04/12/2025 09:36:59;11197;1;241,5;Advanced Redes LTDA;10.441.889/0001-26;0;Amanda Carvalho
04/12/2025 09:24:26;11196;1;837,5;Solution Serviços LTDA;19.807.252/0001-79;0;Mariana Fernandes
03/12/2025 13:57:19;11195;1;762,54;Delta Projetos EIRELI;84.665.251/0001-65;0;Amanda Carvalho
03/12/2025 13:46:54;11194;1;2860,4;Service Manutenção Grupo;83.584.348/0001-70;0;Mariana Fernandes
03/12/2025 13:38:48;11193;1;1732,5;Service Manutenção Grupo;83.584.348/0001-70;0;Mariana Fernandes
02/12/2025 15:38:10;11192;1;174,78;Master Comércio Grupo;18.791.982/0001-40;0;Mariana Fernandes
02/12/2025 14:43:19;11191;1;490,5;Brasil Indústria EIRELI;56.915.981/0001-15;0;Mariana Fernandes
02/12/2025 13:31:33;11190;1;5716,2;Micro Embalagens ME;22.199.774/0001-65;0;Amanda Carvalho
02/12/2025 11:07:17;11189;1;620,7;Green Tecnologia ME;95.205.462/0001-81;0;Amanda Carvalho
02/12/2025 10:37:02;11188;1;1620;Nexus Eletrônicos Grupo;13.674.303/0001-93;0;Mariana Fernandes
02/12/2025 09:57:56;11187;1;1478;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
02/12/2025 09:51:16;11186;1;237;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
02/12/2025 09:47:59;11185;1;2029,5;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
02/12/2025 09:38:36;11184;1;2182,6;Amazonas Tecnologia EIRELI;23.194.489/0001-22;0;Amanda Carvalho
02/12/2025 09:18:35;11183;1;2641,9;Inova Investimentos EIRELI;91.619.723/0001-35;0;Amanda Carvalho
02/12/2025 09:16:58;11182;1;57;Nexus Projetos LTDA;50.510.374/0001-18;0;Amanda Carvalho
01/12/2025 12:28:24;11181;1;274,4;Steel Têxtil ME;40.985.266/0001-32;0;Mariana Fernandes
01/12/2025 12:11:09;11180;1;548,8;Steel Têxtil ME;40.985.266/0001-32;0;Mariana Fernandes
01/12/2025 11:58:24;11179;1;1923,6;Service Manutenção Grupo;83.584.348/0001-70;0;Mariana Fernandes
01/12/2025 10:32:14;11178;1;165,8;Steel Serviços ME;52.901.521/0001-95;0;Amanda Carvalho
28/11/2025 12:14:01;11177;1;169;Energy Obras ME;44.263.906/0001-99;0;Mariana Fernandes
27/11/2025 11:32:02;11176;1;107;Synergy Distribuidora LTDA;80.259.378/0001-46;0;Mariana Fernandes
26/11/2025 14:34:49;11175;1;16;Engineering Redes ME;66.664.822/0001-64;0;Mariana Fernandes
26/11/2025 13:40:39;11174;1;545,5;Power Alimentos EIRELI;24.400.545/0001-30;0;Amanda Carvalho
26/11/2025 13:38:01;11173;1;114;Nexus Projetos LTDA;50.510.374/0001-18;0;Amanda Carvalho
26/11/2025 08:42:37;11172;1;714;Synergy Distribuidora LTDA;80.259.378/0001-46;0;Amanda Ferreira
25/11/2025 11:39:44;11171;1;1901,25;Consulting Comércio S.A.;94.697.678/0001-76;0;Mariana Fernandes
25/11/2025 10:14:22;11170;1;663,5;Health Componentes Grupo;25.487.180/0001-80;0;Mariana Fernandes
21/11/2025 14:27:52;11169;1;455;Green Investimentos EIRELI;87.370.926/0001-15;0;Mariana Fernandes
19/11/2025 15:35:13;11168;1;102;Inova Consultoria LTDA;70.327.304/0001-68;0;Amanda Ferreira
19/11/2025 09:04:41;11167;1;16;Green Web ME;38.124.775/0001-34;0;Amanda Ferreira
18/11/2025 16:09:16;11166;1;401;Gold Cloud EIRELI;18.891.385/0001-54;0;Mariana Fernandes
18/11/2025 11:26:50;11165;1;443,4;Advanced Redes LTDA;10.441.889/0001-26;0;Mariana Fernandes
18/11/2025 11:17:10;11164;1;524,5;Service Componentes ME;64.287.385/0001-69;0;Amanda Carvalho
18/11/2025 11:12:56;11163;1;1767,5;Service Componentes ME;64.287.385/0001-69;0;Amanda Carvalho
18/11/2025 11:06:40;11162;1;222,2;Software Eletrônicos S.A.;96.963.649/0001-52;0;Amanda Carvalho
18/11/2025 10:05:30;11161;1;120;Synergy Distribuidora LTDA;80.259.378/0001-46;0;Amanda Ferreira
18/11/2025 09:43:56;11160;1;345;Beta Distribuidora EIRELI;32.694.371/0001-14;0;Amanda Ferreira
17/11/2025 15:29:30;11159;1;2919,15;Service Redes Grupo;64.697.508/0001-56;0;Mariana Fernandes
17/11/2025 14:28:54;11158;1;28,65;Green Investimentos EIRELI;87.370.926/0001-15;0;Mariana Fernandes
17/11/2025 10:52:54;11157;1;842;Advanced Redes LTDA;10.441.889/0001-26;0;Mariana Fernandes
17/11/2025 10:44:16;11156;1;1367,4;Advanced Redes LTDA;10.441.889/0001-26;0;Amanda Carvalho
14/11/2025 16:21:11;11155;1;400;Green Investimentos EIRELI;87.370.926/0001-15;0;Amanda Carvalho
14/11/2025 16:06:09;11154;1;183,5;Inova Têxtil S.A.;54.846.905/0001-50;0;Amanda Ferreira
14/11/2025 13:19:40;11153;1;2182,6;Amazonas Tecnologia EIRELI;23.194.489/0001-22;0;Amanda Carvalho
14/11/2025 13:13:40;11152;1;4210;Amazonas Tecnologia EIRELI;23.194.489/0001-22;0;Amanda Carvalho
14/11/2025 13:07:55;11151;1;502,5;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
14/11/2025 09:04:26;11150;1;1738;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
13/11/2025 16:22:47;11149;1;78;Nexus Projetos LTDA;50.510.374/0001-18;0;Amanda Carvalho
13/11/2025 15:47:37;11148;1;1197,9;Sigma Consultoria EIRELI;23.354.296/0001-34;0;Mariana Fernandes
13/11/2025 15:11:35;11147;1;450,18;Global Manutenção ME;97.532.710/0001-18;0;Mariana Fernandes
13/11/2025 13:22:36;11146;1;388,5;Advanced Redes LTDA;10.441.889/0001-26;0;Amanda Carvalho
12/11/2025 15:48:37;11145;1;1923,6;Service Manutenção Grupo;83.584.348/0001-70;0;Mariana Fernandes
12/11/2025 15:44:41;11144;1;35;Energy Obras ME;44.263.906/0001-99;0;Amanda Ferreira
12/11/2025 15:00:46;11143;1;94;Metal Têxtil Grupo;24.494.690/0001-34;0;Amanda Carvalho
12/11/2025 14:11:32;11142;1;48;Engineering Redes ME;66.664.822/0001-64;0;Amanda Ferreira
12/11/2025 13:37:14;11141;1;615,15;Sigma Transportes S.A.;10.499.371/0001-68;0;Amanda Ferreira
11/11/2025 15:57:45;11140;1;683,7;Synergy Indústria S.A.;10.632.925/0001-78;0;Mariana Fernandes
11/11/2025 13:44:31;11139;1;1074,9;Green Tecnologia ME;95.205.462/0001-81;0;Mariana Fernandes
11/11/2025 13:37:02;11138;1;9,5;Engineering Redes ME;66.664.822/0001-64;0;Amanda Ferreira
11/11/2025 13:32:52;11137;1;1480;Green Tecnologia ME;95.205.462/0001-81;0;Amanda Carvalho
11/11/2025 13:23:43;11136;1;1516,72;Software Eletrônicos S.A.;96.963.649/0001-52;0;Amanda Carvalho
11/11/2025 13:04:21;11135;1;1420,65;Engineering Redes ME;66.664.822/0001-64;0;Mariana Fernandes
11/11/2025 11:40:48;11134;1;328,5;Advanced Redes LTDA;10.441.889/0001-26;0;Amanda Carvalho
11/11/2025 09:51:22;11133;1;613,8;Creative Móveis ME;56.541.171/0001-95;0;Amanda Ferreira
10/11/2025 14:20:19;11132;1;489;Inova Consultoria EIRELI;68.750.954/0001-56;0;Amanda Carvalho
10/11/2025 13:19:47;11131;1;208,5;Health Componentes Grupo;25.487.180/0001-80;0;Amanda Carvalho
10/11/2025 13:03:36;11130;1;699,3;Sigma Consultoria EIRELI;23.354.296/0001-34;0;Amanda Carvalho
10/11/2025 12:50:42;11129;1;1942,25;Micro Embalagens ME;22.199.774/0001-65;0;Mariana Fernandes
10/11/2025 12:48:47;11128;1;1747,4;Micro Embalagens ME;22.199.774/0001-65;0;Mariana Fernandes
10/11/2025 12:47:49;11127;1;2318,14;Safe Têxtil EIRELI;94.968.227/0001-48;0;Mariana Fernandes
10/11/2025 12:45:45;11126;1;4629,28;Micro Embalagens ME;22.199.774/0001-65;0;Mariana Fernandes
10/11/2025 12:05:48;11125;1;1546,54;Micro Embalagens ME;22.199.774/0001-65;0;Mariana Fernandes
10/11/2025 11:57:44;11124;1;399;Sea Web S.A.;51.512.813/0001-47;0;Amanda Carvalho
10/11/2025 11:39:12;11123;1;284,4;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
10/11/2025 11:31:47;11122;1;304;Solution Manutenção ME;63.780.488/0001-96;0;Mariana Fernandes
10/11/2025 11:26:09;11121;1;413;Sea Web S.A.;51.512.813/0001-47;0;Mariana Fernandes
10/11/2025 11:22:29;11120;1;331,6;Sea Web S.A.;51.512.813/0001-47;0;Mariana Fernandes
10/11/2025 11:18:23;11119;1;1080,8;Nexus Eletrônicos Grupo;13.674.303/0001-93;0;Mariana Fernandes
10/11/2025 11:14:26;11118;1;1983,6;Energy Transportes Grupo;82.408.515/0001-80;0;Mariana Fernandes
10/11/2025 11:10:52;11117;1;244,5;Fast Redes ME;95.833.421/0001-40;0;Mariana Fernandes
10/11/2025 10:06:57;11116;1;4870,8;Master Comércio Grupo;18.791.982/0001-40;0;Mariana Fernandes
07/11/2025 10:46:05;11115;1;199;Advanced Serviços EIRELI;46.315.540/0001-84;0;Mariana Fernandes
07/11/2025 09:01:50;11114;1;2354,5;Service Componentes ME;64.287.385/0001-69;0;Amanda Carvalho
06/11/2025 12:12:05;11113;1;96;Nexus Projetos LTDA;50.510.374/0001-18;0;Amanda Carvalho
06/11/2025 11:51:59;11112;1;365;Venture Alimentos EIRELI;69.552.552/0001-96;0;Mariana Fernandes
06/11/2025 08:44:25;11110;1;325,66;Orion Eletrônicos S.A.;31.774.186/0001-46;26190;Amanda Ferreira
05/11/2025 10:46:15;11109;1;765;Sea Bebidas Grupo;52.195.938/0001-40;0;Amanda Carvalho
05/11/2025 10:36:48;11108;1;898,5;Creative Móveis ME;56.541.171/0001-95;0;Mariana Fernandes
05/11/2025 10:25:01;11106;1;781;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
30/10/2025 10:48:43;11105;1;91;Creative Web ME;35.250.125/0001-15;0;Amanda Carvalho
30/10/2025 10:24:58;11104;1;90;Tech Química S.A.;14.130.195/0001-37;0;Amanda Ferreira
29/10/2025 13:46:11;11103;1;45,45;Global Manutenção ME;97.532.710/0001-18;0;Amanda Ferreira
29/10/2025 10:41:19;11102;1;622;Core Elétricos Grupo;19.566.524/0001-90;0;Mariana Fernandes
29/10/2025 10:04:28;11101;1;245;Software Componentes ME;43.242.352/0001-81;0;Amanda Carvalho
28/10/2025 11:24:39;11100;1;770;Energy Transportes Grupo;82.408.515/0001-80;0;Amanda Carvalho
28/10/2025 11:19:48;11099;1;370;Alpha Bebidas Grupo;48.779.206/0001-27;0;Amanda Carvalho
28/10/2025 10:48:49;11098;1;380,7;Service Redes Grupo;64.697.508/0001-56;0;Amanda Carvalho
28/10/2025 10:37:16;11097;1;160;Fast Redes ME;95.833.421/0001-40;0;Amanda Carvalho
27/10/2025 16:29:40;11096;1;91;Creative Web ME;35.250.125/0001-15;0;Amanda Carvalho
27/10/2025 15:59:40;11095;1;315,5;Group Tecnologia S.A.;73.509.349/0001-28;0;Amanda Carvalho
27/10/2025 15:31:16;11093;1;202;Nexus Projetos LTDA;50.510.374/0001-18;0;Amanda Carvalho
22/10/2025 15:26:37;11092;1;964,72;Software Componentes ME;43.242.352/0001-81;0;Amanda Ferreira
22/10/2025 13:03:01;11091;1;717;Nexus Manutenção Grupo;73.193.873/0001-16;0;Mariana Fernandes
22/10/2025 12:41:17;11090;1;345;Prime Embalagens S.A.;71.318.985/0001-61;0;Amanda Carvalho
21/10/2025 15:35:02;11089;1;1845;Prime Embalagens S.A.;71.318.985/0001-61;0;Mariana Fernandes
21/10/2025 13:02:27;11088;1;414,8;Software Moda LTDA;23.897.535/0001-38;0;Amanda Carvalho
20/10/2025 13:32:01;11087;1;479,6;Master Obras Grupo;69.151.670/0001-41;0;Amanda Carvalho
20/10/2025 13:21:25;11085;1;395;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
20/10/2025 11:06:21;11084;1;4804,9;Fast Redes ME;95.833.421/0001-40;0;Mariana Fernandes
17/10/2025 11:27:19;11083;1;268,15;Global Componentes ME;69.783.643/0001-81;0;Mariana Fernandes
17/10/2025 11:06:01;11082;1;395;Nexus Componentes Grupo;45.928.990/0001-10;0;Amanda Carvalho
17/10/2025 09:09:40;11081;1;18,9;Master Comércio Grupo;18.791.982/0001-40;0;Amanda Carvalho
16/10/2025 10:39:41;11080;1;1557,5;Advanced Redes LTDA;10.441.889/0001-26;0;Amanda Carvalho
16/10/2025 09:56:24;11079;1;138,5;Consulting Projetos Grupo;64.950.661/0001-67;0;Amanda Carvalho
15/10/2025 08:47:51;11078;1;241,02;Metal Têxtil Grupo;24.494.690/0001-34;0;Amanda Carvalho
14/10/2025 15:24:00;11077;1;149;Synergy Distribuidora LTDA;80.259.378/0001-46;0;Mariana Fernandes
14/10/2025 15:16:01;11076;1;1215,9;Alpha Comércio LTDA;39.169.132/0001-52;0;Mariana Fernandes
14/10/2025 13:58:33;11075;1;390;Prime Móveis S.A.;67.365.869/0001-41;0;Amanda Carvalho
14/10/2025 13:35:17;11074;1;901;Group Tecnologia S.A.;73.509.349/0001-28;0;Amanda Carvalho
14/10/2025 10:29:48;11073;1;164;Creative Web ME;35.250.125/0001-15;0;
13/10/2025 16:23:24;11072;1;684;Marketing Metalúrgica ME;97.432.963/0001-17;0;Amanda Carvalho
13/10/2025 16:17:23;11071;1;381,27;Service Componentes ME;64.287.385/0001-69;0;Amanda Carvalho
13/10/2025 16:09:07;11070;1;743,5;Advanced Redes LTDA;10.441.889/0001-26;0;Mariana Fernandes
